epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,12705.3,0.4531,0.20757,0.8561,0.99892,0.99701,0.99407,0.87633,0.57967,0.22886,0.90178,0.00232391,0.00232391,0.00232391
109,12838.1,0.45907,0.20594,0.86215,0.9989,0.99701,0.99406,0.87378,0.58944,0.23175,0.90752,0.00225217,0.00225217,0.00225217
110,12972.2,0.45683,0.20637,0.8618,0.999,0.99701,0.99404,0.87575,0.58638,0.22746,0.91139,0.00218043,0.00218043,0.00218043
111,13067.7,0.45327,0.20396,0.85953,0.99801,0.99742,0.99404,0.87341,0.59205,0.22985,0.91617,0.0021087,0.0021087,0.0021087
112,13150,0.45218,0.20371,0.86026,0.99701,0.99679,0.99404,0.87178,0.59485,0.2352,0.91646,0.00203696,0.00203696,0.00203696
113,13231.3,0.45299,0.20445,0.85881,0.99701,0.99691,0.99403,0.87232,0.60029,0.23689,0.91223,0.00196522,0.00196522,0.00196522
114,13312.9,0.44698,0.19951,0.8545,0.9969,0.99701,0.99403,0.87024,0.60797,0.23604,0.91291,0.00189348,0.00189348,0.00189348
115,13394.8,0.45044,0.20115,0.85785,0.99889,0.99701,0.99403,0.87283,0.59575,0.22769,0.90791,0.00182174,0.00182174,0.00182174
116,13476.3,0.44964,0.20395,0.85651,0.99895,0.99701,0.99404,0.87286,0.59446,0.22574,0.90794,0.00175,0.00175,0.00175
117,13557.8,0.4476,0.20001,0.85657,0.99897,0.99701,0.99404,0.872,0.60071,0.22634,0.90911,0.00167826,0.00167826,0.00167826
118,13639.6,0.44576,0.19713,0.85438,0.99891,0.99701,0.99404,0.87186,0.60079,0.22669,0.91094,0.00160652,0.00160652,0.00160652
119,13721,0.44372,0.19701,0.85367,0.99892,0.99701,0.99404,0.87128,0.60541,0.22767,0.91374,0.00153478,0.00153478,0.00153478
120,13803.1,0.44526,0.1979,0.8563,0.99801,0.99701,0.99404,0.87244,0.60423,0.22992,0.91379,0.00146304,0.00146304,0.00146304
121,13885.2,0.44061,0.19668,0.85877,0.99801,0.99692,0.99404,0.87298,0.60591,0.22971,0.9152,0.0013913,0.0013913,0.0013913
122,13966.7,0.4439,0.19699,0.85815,0.99603,0.9979,0.99405,0.87135,0.61308,0.22959,0.91769,0.00131957,0.00131957,0.00131957
123,14052.2,0.43491,0.19467,0.85399,0.99801,0.99573,0.99404,0.86423,0.63209,0.23327,0.92391,0.00124783,0.00124783,0.00124783
124,14174,0.43687,0.19238,0.85195,0.99868,0.99502,0.99404,0.8615,0.63877,0.23628,0.92633,0.00117609,0.00117609,0.00117609
125,14295.2,0.4365,0.191,0.85443,0.999,0.99481,0.99405,0.85947,0.64415,0.241,0.93099,0.00110435,0.00110435,0.00110435
126,14429.3,0.43474,0.18972,0.85648,0.999,0.99586,0.99404,0.86117,0.64445,0.24156,0.93274,0.00103261,0.00103261,0.00103261
127,14551,0.43406,0.18729,0.8533,0.999,0.99587,0.99404,0.8582,0.64768,0.24382,0.93544,0.00096087,0.00096087,0.00096087
128,14667.5,0.43302,0.18698,0.85537,0.999,0.99617,0.99405,0.85914,0.64269,0.2408,0.93443,0.00088913,0.00088913,0.00088913
129,14807.9,0.41579,0.17345,0.82976,0.999,0.99597,0.99404,0.85602,0.65196,0.24278,0.93966,0.000817391,0.000817391,0.000817391
130,14924.3,0.41337,0.17141,0.83205,0.999,0.99493,0.99404,0.85908,0.64408,0.24071,0.93666,0.000745652,0.000745652,0.000745652
131,15046.7,0.41118,0.16913,0.83391,0.99672,0.99701,0.99405,0.86171,0.63573,0.23668,0.93226,0.000673913,0.000673913,0.000673913
132,15158.9,0.40879,0.16715,0.82828,0.99675,0.99801,0.99406,0.86229,0.64003,0.23706,0.93396,0.000602174,0.000602174,0.000602174
133,15280.5,0.40788,0.16597,0.82828,0.99702,0.99776,0.99407,0.86102,0.64582,0.23885,0.93682,0.000530435,0.000530435,0.000530435
134,15398.3,0.40769,0.16664,0.82941,0.99698,0.99801,0.99407,0.85876,0.64835,0.23889,0.93973,0.000458696,0.000458696,0.000458696
135,15519.3,0.40456,0.16419,0.82668,0.99698,0.99801,0.99406,0.85889,0.64658,0.23782,0.9401,0.000386957,0.000386957,0.000386957
136,15635.4,0.40472,0.16464,0.82784,0.99702,0.99766,0.99407,0.86126,0.64575,0.23808,0.94134,0.000315217,0.000315217,0.000315217
137,15757.6,0.40143,0.16214,0.82799,0.99701,0.99688,0.99406,0.86079,0.64714,0.23878,0.943,0.000243478,0.000243478,0.000243478
138,15874.4,0.39972,0.16066,0.82749,0.99665,0.99701,0.99407,0.86008,0.65071,0.2401,0.94567,0.000171739,0.000171739,0.000171739
